A,model,technique,disparate_impact,disparate_impact,disparate_impact,disparate_impact,disparate_impact,disparate_impact,disparate_impact,disparate_impact,disparate_impact,statistical_parity_difference,statistical_parity_difference,statistical_parity_difference,statistical_parity_difference,statistical_parity_difference,statistical_parity_difference,statistical_parity_difference,statistical_parity_difference,statistical_parity_difference,equal_opportunity_difference,equal_opportunity_difference,equal_opportunity_difference,equal_opportunity_difference,equal_opportunity_difference,equal_opportunity_difference,equal_opportunity_difference,equal_opportunity_difference,equal_opportunity_difference,average_abs_odds_difference,average_abs_odds_difference,average_abs_odds_difference,average_abs_odds_difference,average_abs_odds_difference,average_abs_odds_difference,average_abs_odds_difference,average_abs_odds_difference,average_abs_odds_difference,positive_predictive_value,positive_predictive_value,positive_predictive_value,positive_predictive_value,positive_predictive_value,positive_predictive_value,positive_predictive_value,positive_predictive_value,positive_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,negative_predictive_value,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,mixa,mixa,mixa,mixa,mixa,mixa,mixa,mixa,mixa,mixy,mixy,mixy,mixy,mixy,mixy,mixy,mixy,mixy
,,,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy,disparate_impact,statistical_parity_difference,equal_opportunity_difference,average_abs_odds_difference,positive_predictive_value,negative_predictive_value,accuracy,mixa,mixy
age_bins,<function base_classifier at 0x7f0b7b42e680>,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,1.0,-0.9166666666666666,-0.8666666666666667,0.9666666666666667,-0.6333333333333333,-0.9166666666666666,-0.8166666666666667,-0.724568837309472,0.95,-0.9166666666666666,1.0,0.7833333333333333,-0.95,0.6166666666666667,0.7666666666666667,0.7666666666666667,0.724568837309472,-0.8833333333333333,-0.8666666666666667,0.7833333333333333,1.0,-0.8666666666666667,0.48333333333333334,0.85,0.7166666666666667,0.6210590034081188,-0.8166666666666667,0.9666666666666667,-0.95,-0.8666666666666667,1.0,-0.7,-0.8666666666666667,-0.85,-0.724568837309472,0.9666666666666667,-0.6333333333333333,0.6166666666666667,0.48333333333333334,-0.7,1.0,0.7333333333333333,0.95,0.10350983390135314,-0.8166666666666667,-0.9166666666666666,0.7666666666666667,0.85,-0.8666666666666667,0.7333333333333333,1.0,0.8833333333333333,0.41403933560541256,-0.9,-0.8166666666666667,0.7666666666666667,0.7166666666666667,-0.85,0.95,0.8833333333333333,1.0,0.3105295017040594,-0.9333333333333333,-0.724568837309472,0.724568837309472,0.6210590034081188,-0.724568837309472,0.10350983390135314,0.41403933560541256,0.3105295017040594,1.0,-0.6210590034081188,0.95,-0.8833333333333333,-0.8166666666666667,0.9666666666666667,-0.8166666666666667,-0.9,-0.9333333333333333,-0.6210590034081188,1.0
age_bins,<function base_classifier at 0x7f0b7b42e680>,<function sequential_feature_selection_backward at 0x7f0b7b42e3b0>,1.0,-0.18333333333333332,-0.8166666666666667,0.9666666666666667,-0.8,-1.0,-0.9,,-0.9833333333333333,-0.18333333333333332,1.0,0.4666666666666667,-0.23333333333333334,0.6,0.6904761904761905,0.48333333333333334,,0.16666666666666666,-0.8166666666666667,0.4666666666666667,1.0,-0.8333333333333334,0.7666666666666667,0.8571428571428571,0.85,,0.8,0.9666666666666667,-0.23333333333333334,-0.8333333333333334,1.0,-0.85,-0.9761904761904762,-0.9333333333333333,,-0.9333333333333333,-0.8,0.6,0.7666666666666667,-0.85,1.0,0.9523809523809523,0.95,,0.7666666666666667,-1.0,0.6904761904761905,0.8571428571428571,-0.9761904761904762,0.9523809523809523,1.0,1.0,,0.9761904761904762,-0.9,0.48333333333333334,0.85,-0.9333333333333333,0.95,1.0,1.0,,0.8833333333333333,,,,,,,,,,-0.9833333333333333,0.16666666666666666,0.8,-0.9333333333333333,0.7666666666666667,0.9761904761904762,0.8833333333333333,,1.0
age_bins,<function base_classifier at 0x7f0b7b42e680>,<function sequential_feature_selection_forward at 0x7f0b7b42dea0>,1.0,-0.18333333333333332,-0.8166666666666667,0.9666666666666667,-0.8,-1.0,-0.9,,-0.9833333333333333,-0.18333333333333332,1.0,0.4666666666666667,-0.23333333333333334,0.6,0.6904761904761905,0.48333333333333334,,0.16666666666666666,-0.8166666666666667,0.4666666666666667,1.0,-0.8333333333333334,0.7666666666666667,0.8571428571428571,0.85,,0.8,0.9666666666666667,-0.23333333333333334,-0.8333333333333334,1.0,-0.85,-0.9761904761904762,-0.9333333333333333,,-0.9333333333333333,-0.8,0.6,0.7666666666666667,-0.85,1.0,0.9523809523809523,0.95,,0.7666666666666667,-1.0,0.6904761904761905,0.8571428571428571,-0.9761904761904762,0.9523809523809523,1.0,1.0,,0.9761904761904762,-0.9,0.48333333333333334,0.85,-0.9333333333333333,0.95,1.0,1.0,,0.8833333333333333,,,,,,,,,,-0.9833333333333333,0.16666666666666666,0.8,-0.9333333333333333,0.7666666666666667,0.9761904761904762,0.8833333333333333,,1.0
age_bins,<function base_classifier at 0x7f0b7b42e680>,<function sufficiency_criteria at 0x7f0b7b42e5f0>,1.0,-0.7857142857142857,-0.5714285714285714,0.9523809523809523,0.9700772721497398,-0.9047619047619048,-0.5714285714285714,,0.7857142857142857,-0.7857142857142857,1.0,0.8166666666666667,-0.9166666666666666,-0.8786687791935092,0.8833333333333333,0.9,,-1.0,-0.5714285714285714,0.8166666666666667,1.0,-0.7333333333333333,-0.6861984751796929,0.7,0.6666666666666666,,-0.8166666666666667,0.9523809523809523,-0.9166666666666666,-0.7333333333333333,1.0,0.9790880682441959,-0.9833333333333333,-0.8166666666666667,,0.9166666666666666,0.9700772721497398,-0.8786687791935092,-0.6861984751796929,0.9790880682441959,1.0,-0.9623515200690814,-0.728039845617479,,0.8786687791935092,-0.9047619047619048,0.8833333333333333,0.7,-0.9833333333333333,-0.9623515200690814,1.0,0.8333333333333334,,-0.8833333333333333,-0.5714285714285714,0.9,0.6666666666666666,-0.8166666666666667,-0.728039845617479,0.8333333333333334,1.0,,-0.9,,,,,,,,,,0.7857142857142857,-1.0,-0.8166666666666667,0.9166666666666666,0.8786687791935092,-0.8833333333333333,-0.9,,1.0
age_bins,<function base_classifier at 0x7f0b7b42e680>,<function xy_greater_xa at 0x7f0b7b42dd80>,1.0,-0.9333333333333333,-0.8833333333333333,0.9833333333333333,-0.6166666666666667,-0.9166666666666666,-0.8166666666666667,0.6900655593423543,0.7666666666666667,-0.9333333333333333,1.0,0.7666666666666667,-0.95,0.6166666666666667,0.7833333333333333,0.7833333333333333,-0.7073171983259131,-0.7833333333333333,-0.8833333333333333,0.7666666666666667,1.0,-0.85,0.5,0.8666666666666667,0.7333333333333333,-0.6900655593423543,-0.7833333333333333,0.9833333333333333,-0.95,-0.85,1.0,-0.7,-0.8833333333333333,-0.8666666666666667,0.7073171983259131,0.8333333333333334,-0.6166666666666667,0.6166666666666667,0.5,-0.7,1.0,0.7166666666666667,0.9333333333333333,-0.7935753932437074,-0.7833333333333333,-0.9166666666666666,0.7833333333333333,0.8666666666666667,-0.8833333333333333,0.7166666666666667,1.0,0.8833333333333333,-0.8108270322272663,-0.7666666666666667,-0.8166666666666667,0.7833333333333333,0.7333333333333333,-0.8666666666666667,0.9333333333333333,0.8833333333333333,1.0,-0.8970852271450606,-0.9166666666666666,0.6900655593423543,-0.7073171983259131,-0.6900655593423543,0.7073171983259131,-0.7935753932437074,-0.8108270322272663,-0.8970852271450606,1.0,0.8625819491779428,0.7666666666666667,-0.7833333333333333,-0.7833333333333333,0.8333333333333334,-0.7833333333333333,-0.7666666666666667,-0.9166666666666666,0.8625819491779428,1.0
age_bins,<function fair_classifier at 0x7f0b7b42e710>,<function maximally_predictive_minimally_demographic at 0x7f0b7b42e560>,1.0,0.9833333333333333,0.85,-0.7833333333333333,0.03333333333333333,-0.08333333333333333,0.18333333333333332,-0.724568837309472,-0.016666666666666666,0.9833333333333333,1.0,0.8333333333333334,-0.7666666666666667,0.05,-0.06666666666666667,0.21666666666666667,-0.724568837309472,-0.03333333333333333,0.85,0.8333333333333334,1.0,-0.6833333333333333,0.38333333333333336,0.4,0.48333333333333334,-0.3105295017040594,-0.4166666666666667,-0.7833333333333333,-0.7666666666666667,-0.6833333333333333,1.0,-0.31666666666666665,-0.15,-0.55,0.41403933560541256,0.35,0.03333333333333333,0.05,0.38333333333333336,-0.31666666666666665,1.0,0.85,0.9166666666666666,0.5175491695067657,-0.9333333333333333,-0.08333333333333333,-0.06666666666666667,0.4,-0.15,0.85,1.0,0.8333333333333334,0.724568837309472,-0.95,0.18333333333333332,0.21666666666666667,0.48333333333333334,-0.55,0.9166666666666666,0.8333333333333334,1.0,0.41403933560541256,-0.95,-0.724568837309472,-0.724568837309472,-0.3105295017040594,0.41403933560541256,0.5175491695067657,0.724568837309472,0.41403933560541256,1.0,-0.6210590034081188,-0.016666666666666666,-0.03333333333333333,-0.4166666666666667,0.35,-0.9333333333333333,-0.95,-0.95,-0.6210590034081188,1.0
age_bins,<function fair_classifier at 0x7f0b7b42e710>,<function sequential_feature_selection_backward at 0x7f0b7b42e3b0>,1.0,0.7666666666666667,0.7,-0.5,-0.4166666666666667,-0.31666666666666665,-0.2,,-0.2833333333333333,0.7666666666666667,1.0,0.9,-0.75,-0.016666666666666666,-0.06666666666666667,0.13333333333333333,,-0.05,0.7,0.9,1.0,-0.7,0.21666666666666667,0.26666666666666666,0.38333333333333336,,0.3,-0.5,-0.75,-0.7,1.0,-0.21666666666666667,-0.16666666666666666,-0.48333333333333334,,-0.15,-0.4166666666666667,-0.016666666666666666,0.21666666666666667,-0.21666666666666667,1.0,0.9,0.9333333333333333,,0.8833333333333333,-0.31666666666666665,-0.06666666666666667,0.26666666666666666,-0.16666666666666666,0.9,1.0,0.9,,0.9833333333333333,-0.2,0.13333333333333333,0.38333333333333336,-0.48333333333333334,0.9333333333333333,0.9,1.0,,0.8833333333333333,,,,,,,,,,-0.2833333333333333,-0.05,0.3,-0.15,0.8833333333333333,0.9833333333333333,0.8833333333333333,,1.0
age_bins,<function fair_classifier at 0x7f0b7b42e710>,<function sequential_feature_selection_forward at 0x7f0b7b42dea0>,1.0,0.7333333333333333,0.8619322310183947,-0.8333333333333334,-0.5166666666666667,0.08333333333333333,-0.36666666666666664,,-0.5166666666666667,0.7333333333333333,1.0,0.8284591346681658,-0.9,-0.08333333333333333,0.48333333333333334,0.1,,-0.11666666666666667,0.8619322310183947,0.8284591346681658,1.0,-0.8786687791935092,-0.050209644525343385,0.2677847708018314,0.07531446678801507,,-0.15899720766358738,-0.8333333333333334,-0.9,-0.8786687791935092,1.0,0.2,-0.2,0.0,,0.25,-0.5166666666666667,-0.08333333333333333,-0.050209644525343385,0.2,1.0,0.3333333333333333,0.9333333333333333,,0.85,0.08333333333333333,0.48333333333333334,0.2677847708018314,-0.2,0.3333333333333333,1.0,0.35,,0.5166666666666667,-0.36666666666666664,0.1,0.07531446678801507,0.0,0.9333333333333333,0.35,1.0,,0.8833333333333333,,,,,,,,,,-0.5166666666666667,-0.11666666666666667,-0.15899720766358738,0.25,0.85,0.5166666666666667,0.8833333333333333,,1.0
age_bins,<function fair_classifier at 0x7f0b7b42e710>,<function sufficiency_criteria at 0x7f0b7b42e5f0>,1.0,0.4,0.8,-0.4,0.2,-1.0,0.2,,-0.4,0.4,1.0,0.98,-0.7,-0.22,0.23734644158557197,0.6755244875897048,,-0.6390096504226938,0.8,0.98,1.0,-0.68,-0.26,0.2008316044185609,0.6390096504226938,,-0.6207522318391883,-0.4,-0.7,-0.68,1.0,0.82,-0.785068999090738,-0.8398412548412547,,0.9128709291752768,0.2,-0.22,-0.26,0.82,1.0,-0.8398412548412547,-0.6207522318391883,,0.748554161923727,-1.0,0.23734644158557197,0.2008316044185609,-0.785068999090738,-0.8398412548412547,1.0,0.8333333333333334,,-0.8833333333333333,0.2,0.6755244875897048,0.6390096504226938,-0.8398412548412547,-0.6207522318391883,0.8333333333333334,1.0,,-0.9666666666666667,,,,,,,,,,-0.4,-0.6390096504226938,-0.6207522318391883,0.9128709291752768,0.748554161923727,-0.8833333333333333,-0.9666666666666667,,1.0
