,A,"I(X,A)",a,a_count,"I(X,Y|A=a)",Y,"I(X,A|Y=y)","I(X,Y)",bins
0,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,0,0.3235397653536589,1.0358024604738987,"5,5,5,20"
1,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,1,0.37004017961427327,1.0358024604738987,"5,5,5,20"
2,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,2,0.3952958912916626,1.0358024604738987,"5,5,5,20"
3,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,3,0.43980203922904554,1.0358024604738987,"5,5,5,20"
4,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,4,0.4720906467641003,1.0358024604738987,"5,5,5,20"
5,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,5,0.4561907759981009,1.0358024604738987,"5,5,5,20"
6,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,6,0.4458145590139448,1.0358024604738987,"5,5,5,20"
7,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,7,0.4545824752569584,1.0358024604738987,"5,5,5,20"
8,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,8,0.4504688704939135,1.0358024604738987,"5,5,5,20"
9,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,9,0.4210491918870155,1.0358024604738987,"5,5,5,20"
10,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,10,0.4290968420470526,1.0358024604738987,"5,5,5,20"
11,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,11,0.4018044130510786,1.0358024604738987,"5,5,5,20"
12,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,12,0.4224277958142424,1.0358024604738987,"5,5,5,20"
13,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,13,0.3796762710814624,1.0358024604738987,"5,5,5,20"
14,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,14,0.373422387628519,1.0358024604738987,"5,5,5,20"
15,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,15,0.40386259464903584,1.0358024604738987,"5,5,5,20"
16,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,16,0.40101600617191097,1.0358024604738987,"5,5,5,20"
17,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,17,0.41550600356831247,1.0358024604738987,"5,5,5,20"
18,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,18,0.3409366837431549,1.0358024604738987,"5,5,5,20"
19,gender,0.3872125794526372,Female,14845.0,1.0790647869907812,19,0.36326680909638726,1.0358024604738987,"5,5,5,20"
20,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,0,0.3235397653536589,1.0358024604738987,"5,5,5,20"
21,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,1,0.37004017961427327,1.0358024604738987,"5,5,5,20"
22,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,2,0.3952958912916626,1.0358024604738987,"5,5,5,20"
23,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,3,0.43980203922904554,1.0358024604738987,"5,5,5,20"
24,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,4,0.4720906467641003,1.0358024604738987,"5,5,5,20"
25,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,5,0.4561907759981009,1.0358024604738987,"5,5,5,20"
26,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,6,0.4458145590139448,1.0358024604738987,"5,5,5,20"
27,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,7,0.4545824752569584,1.0358024604738987,"5,5,5,20"
28,gender,0.3872125794526372,Male,31004.0,1.0508300275918785,8,0.4504688704939135,1.0358024604738987,"5,5,5,20"
