,A,"I(X,A)",a,a_count,"I(X,Y|A=a)",Y,"I(X,A|Y=y)","I(X,Y)",bins
0,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,0,0.3137689308933942,0.9065934464727359,"3,3,3,20"
1,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,1,0.36479070143841963,0.9065934464727359,"3,3,3,20"
2,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,2,0.3738233572663719,0.9065934464727359,"3,3,3,20"
3,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,3,0.4101689618688136,0.9065934464727359,"3,3,3,20"
4,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,4,0.4376804213243145,0.9065934464727359,"3,3,3,20"
5,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,5,0.4280329579272797,0.9065934464727359,"3,3,3,20"
6,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,6,0.41563966414240877,0.9065934464727359,"3,3,3,20"
7,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,7,0.4320238291067129,0.9065934464727359,"3,3,3,20"
8,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,8,0.42609597647866126,0.9065934464727359,"3,3,3,20"
9,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,9,0.39933963346904,0.9065934464727359,"3,3,3,20"
10,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,10,0.4125445683245808,0.9065934464727359,"3,3,3,20"
11,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,11,0.38334244561719466,0.9065934464727359,"3,3,3,20"
12,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,12,0.4123892205562947,0.9065934464727359,"3,3,3,20"
13,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,13,0.3655613845617255,0.9065934464727359,"3,3,3,20"
14,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,14,0.36692151881544777,0.9065934464727359,"3,3,3,20"
15,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,15,0.395507157157111,0.9065934464727359,"3,3,3,20"
16,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,16,0.39572573832920727,0.9065934464727359,"3,3,3,20"
17,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,17,0.413715451250148,0.9065934464727359,"3,3,3,20"
18,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,18,0.3396604687583632,0.9065934464727359,"3,3,3,20"
19,gender,0.37340773705800634,Female,14845.0,0.9868019161586736,19,0.3516500173633751,0.9065934464727359,"3,3,3,20"
20,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,0,0.3137689308933942,0.9065934464727359,"3,3,3,20"
21,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,1,0.36479070143841963,0.9065934464727359,"3,3,3,20"
22,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,2,0.3738233572663719,0.9065934464727359,"3,3,3,20"
23,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,3,0.4101689618688136,0.9065934464727359,"3,3,3,20"
24,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,4,0.4376804213243145,0.9065934464727359,"3,3,3,20"
25,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,5,0.4280329579272797,0.9065934464727359,"3,3,3,20"
26,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,6,0.41563966414240877,0.9065934464727359,"3,3,3,20"
27,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,7,0.4320238291067129,0.9065934464727359,"3,3,3,20"
28,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,8,0.42609597647866126,0.9065934464727359,"3,3,3,20"
29,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,9,0.39933963346904,0.9065934464727359,"3,3,3,20"
30,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,10,0.4125445683245808,0.9065934464727359,"3,3,3,20"
31,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,11,0.38334244561719466,0.9065934464727359,"3,3,3,20"
32,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,12,0.4123892205562947,0.9065934464727359,"3,3,3,20"
33,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,13,0.3655613845617255,0.9065934464727359,"3,3,3,20"
34,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,14,0.36692151881544777,0.9065934464727359,"3,3,3,20"
35,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,15,0.395507157157111,0.9065934464727359,"3,3,3,20"
36,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,16,0.39572573832920727,0.9065934464727359,"3,3,3,20"
37,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,17,0.413715451250148,0.9065934464727359,"3,3,3,20"
38,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,18,0.3396604687583632,0.9065934464727359,"3,3,3,20"
39,gender,0.37340773705800634,Male,31004.0,0.8954451689786311,19,0.3516500173633751,0.9065934464727359,"3,3,3,20"
40,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,0,0.2820598034584683,0.9065934464727359,"3,3,3,20"
41,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,1,0.30000670399585816,0.9065934464727359,"3,3,3,20"
42,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,2,0.291457704989766,0.9065934464727359,"3,3,3,20"
43,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,3,0.2686628355347542,0.9065934464727359,"3,3,3,20"
44,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,4,0.2820896645170615,0.9065934464727359,"3,3,3,20"
45,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,5,0.25638252789692517,0.9065934464727359,"3,3,3,20"
46,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,6,0.2528139949247105,0.9065934464727359,"3,3,3,20"
47,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,7,0.24780227122270865,0.9065934464727359,"3,3,3,20"
48,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,8,0.2364732899361328,0.9065934464727359,"3,3,3,20"
49,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,9,0.20740378110229957,0.9065934464727359,"3,3,3,20"
50,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,10,0.2173974512144713,0.9065934464727359,"3,3,3,20"
51,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,11,0.21834714873069644,0.9065934464727359,"3,3,3,20"
52,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,12,0.2682749986242395,0.9065934464727359,"3,3,3,20"
53,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,13,0.23276777012434346,0.9065934464727359,"3,3,3,20"
54,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,14,0.22330100187576107,0.9065934464727359,"3,3,3,20"
55,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,15,0.2681698531670554,0.9065934464727359,"3,3,3,20"
56,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,16,0.2785049582435418,0.9065934464727359,"3,3,3,20"
57,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,17,0.27822297642405913,0.9065934464727359,"3,3,3,20"
58,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,18,0.3159801182656125,0.9065934464727359,"3,3,3,20"
59,race,0.1345411810895094,Amer-Indian-Eskimo,436.0,2.120740868124275,19,0.18262039022143628,0.9065934464727359,"3,3,3,20"
60,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,0,0.2820598034584683,0.9065934464727359,"3,3,3,20"
61,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,1,0.30000670399585816,0.9065934464727359,"3,3,3,20"
62,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,2,0.291457704989766,0.9065934464727359,"3,3,3,20"
63,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,3,0.2686628355347542,0.9065934464727359,"3,3,3,20"
64,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,4,0.2820896645170615,0.9065934464727359,"3,3,3,20"
65,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,5,0.25638252789692517,0.9065934464727359,"3,3,3,20"
66,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,6,0.2528139949247105,0.9065934464727359,"3,3,3,20"
67,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,7,0.24780227122270865,0.9065934464727359,"3,3,3,20"
68,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,8,0.2364732899361328,0.9065934464727359,"3,3,3,20"
69,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,9,0.20740378110229957,0.9065934464727359,"3,3,3,20"
70,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,10,0.2173974512144713,0.9065934464727359,"3,3,3,20"
71,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,11,0.21834714873069644,0.9065934464727359,"3,3,3,20"
72,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,12,0.2682749986242395,0.9065934464727359,"3,3,3,20"
73,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,13,0.23276777012434346,0.9065934464727359,"3,3,3,20"
74,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,14,0.22330100187576107,0.9065934464727359,"3,3,3,20"
75,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,15,0.2681698531670554,0.9065934464727359,"3,3,3,20"
76,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,16,0.2785049582435418,0.9065934464727359,"3,3,3,20"
77,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,17,0.27822297642405913,0.9065934464727359,"3,3,3,20"
78,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,18,0.3159801182656125,0.9065934464727359,"3,3,3,20"
79,race,0.1345411810895094,Asian-Pac-Islander,1303.0,2.01302783976902,19,0.18262039022143628,0.9065934464727359,"3,3,3,20"
80,race,0.1345411810895094,Black,4236.0,1.4363418312829628,0,0.2820598034584683,0.9065934464727359,"3,3,3,20"
81,race,0.1345411810895094,Black,4236.0,1.4363418312829628,1,0.30000670399585816,0.9065934464727359,"3,3,3,20"
82,race,0.1345411810895094,Black,4236.0,1.4363418312829628,2,0.291457704989766,0.9065934464727359,"3,3,3,20"
