,A,"I(X,A)",a,a_count,"I(X,Y|A=a)",Y,"I(X,A|Y=y)","I(X,Y)",bins
0,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,0,0.2793278897555144,0.8211228607859425,"2,2,2,20"
1,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,1,0.338316550702049,0.8211228607859425,"2,2,2,20"
2,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,2,0.3627736660538794,0.8211228607859425,"2,2,2,20"
3,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,3,0.41276633778159444,0.8211228607859425,"2,2,2,20"
4,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,4,0.44392202960870863,0.8211228607859425,"2,2,2,20"
5,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,5,0.4320556608741492,0.8211228607859425,"2,2,2,20"
6,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,6,0.421071489662799,0.8211228607859425,"2,2,2,20"
7,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,7,0.435110443962912,0.8211228607859425,"2,2,2,20"
8,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,8,0.43467140665620674,0.8211228607859425,"2,2,2,20"
9,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,9,0.4062287645813556,0.8211228607859425,"2,2,2,20"
10,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,10,0.42030761470639966,0.8211228607859425,"2,2,2,20"
11,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,11,0.39226402912728875,0.8211228607859425,"2,2,2,20"
12,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,12,0.41791027414166126,0.8211228607859425,"2,2,2,20"
13,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,13,0.3718657141102629,0.8211228607859425,"2,2,2,20"
14,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,14,0.37237042334597126,0.8211228607859425,"2,2,2,20"
15,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,15,0.40205316870649455,0.8211228607859425,"2,2,2,20"
16,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,16,0.3957257383292074,0.8211228607859425,"2,2,2,20"
17,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,17,0.41659158063006485,0.8211228607859425,"2,2,2,20"
18,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,18,0.34431788950198366,0.8211228607859425,"2,2,2,20"
19,gender,0.3687306472224021,Female,14845.0,0.8635076196376172,19,0.35383989938694616,0.8211228607859425,"2,2,2,20"
20,gender,0.3687306472224021,Male,31004.0,0.8301607267198363,0,0.2793278897555144,0.8211228607859425,"2,2,2,20"
21,gender,0.3687306472224021,Male,31004.0,0.8301607267198363,1,0.338316550702049,0.8211228607859425,"2,2,2,20"
22,gender,0.3687306472224021,Male,31004.0,0.8301607267198363,2,0.3627736660538794,0.8211228607859425,"2,2,2,20"
23,gender,0.3687306472224021,Male,31004.0,0.8301607267198363,3,0.41276633778159444,0.8211228607859425,"2,2,2,20"
